Wed Apr 17 15:43:54 2024    profile_stats.prof

         387255327 function calls (336738144 primitive calls) in 106.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  106.682   53.341 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/interactiveshell.py:3469(run_code)
     14/2    0.000    0.000  106.682   53.341 {built-in method builtins.exec}
        1    0.048    0.048  106.682  106.682 /tmp/ipykernel_375413/2820383042.py:9(<module>)
        1    0.000    0.000  106.633  106.633 /tmp/ipykernel_375413/2667600103.py:1(run_clustering)
        1    0.000    0.000   90.642   90.642 /home/ganesank/project/phytclust/phytclust/phytclust.py:230(run)
        1    0.000    0.000   90.642   90.642 /home/ganesank/project/phytclust/phytclust/phytclust.py:224(def_clusters)
        1    0.009    0.009   90.642   90.642 /home/ganesank/project/phytclust/phytclust/phytclust.py:225(<listcomp>)
     3082   18.039    0.006   90.632    0.029 /home/ganesank/project/phytclust/phytclust/phytclust.py:190(tree_clust_backtrack)
  4750905    6.307    0.000   67.418    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:414(get_terminals)
 14396291    6.252    0.000   41.718    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:378(is_matching_elem)
  9595169    8.619    0.000   33.403    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:368(match_attrs)
  9595169    4.054    0.000   22.342    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:299(find_any)
 38356028    7.643    0.000   20.401    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:34(_preorder_traverse)
88597544/38356029   12.254    0.000   13.542    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:37(dfs)
        1    0.001    0.001   12.335   12.335 /home/ganesank/project/phytclust/phytclust/phytclust.py:29(__init__)
        1    0.273    0.273   11.987   11.987 /home/ganesank/project/phytclust/phytclust/phytclust.py:141(tree_clust_dp_table)
  9595169    4.792    0.000   11.055    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:311(find_elements)
    62545    7.621    0.000    9.192    0.000 /home/ganesank/project/phytclust/phytclust/phytclust.py:173(<listcomp>)
 14352241    6.919    0.000    7.309    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:273(_filter_search)
9596877/9590557    2.646    0.000    7.268    0.000 {built-in method builtins.next}
  4757072    1.633    0.000    4.333    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:357(find_clades)
        1    0.093    0.093    3.475    3.475 /home/ganesank/project/phytclust/phytclust/phytclust.py:296(score_calc)
     3082    2.517    0.001    3.381    0.001 /home/ganesank/project/phytclust/phytclust/phytclust.py:252(cluster_score)
52231991/52231980    2.318    0.000    2.318    0.000 {built-in method builtins.len}
 14408618    2.122    0.000    2.122    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:1059(is_terminal)
