Node Name,Cluster Number
SRR3393697,0
SRR3393789,0
SRR3393703,0
SRR3393707,0
SRR3393696,0
SRR3393686,0
SRR3393700,0
SRR3393769,0
SRR3393704,0
SRR3393706,0
SRR3393679,0
SRR3393730,0
SRR3393690,0
SRR3393702,0
SRR3393708,0
SRR3393716,0
SRR3393725,0
SRR3393746,0
SRR3393790,0
SRR3393678,0
SRR3393676,0
SRR3393714,0
SRR3393756,0
SRR3393778,0
SRR3393721,0
SRR3393736,0
SRR3393691,0
SRR3393720,0
SRR3393763,0
SRR3393788,0
SRR3393737,0
SRR3393738,0
SRR3393717,0
SRR3393733,0
SRR3393740,0
SRR3393719,0
SRR3393771,0
SRR3393784,0
SRR3393742,0
SRR3393729,0
SRR3393734,0
SRR3393675,0
SRR3393739,0
SRR3393673,0
SRR3393684,0
SRR3393671,0
SRR3393693,0
SRR3393745,0
SRR3393741,0
SRR3393766,0
SRR3393701,0
SRR3393715,0
SRR3393777,0
SRR3393783,0
SRR3393773,0
SRR3393779,0
SRR3393723,0
SRR3393767,0
SRR3393710,0
SRR3393711,0
SRR3393712,0
SRR3393787,0
SRR3393683,0
SRR3393775,0
SRR3393713,0
SRR3393728,0
SRR3393680,0
SRR3393694,0
SRR3393724,0
SRR3393732,0
SRR3393781,0
SRR3393681,0
SRR3393768,0
SRR3393785,0
SRR3393689,0
SRR3393672,0
SRR3393780,0
SRR3393774,0
SRR3393722,0
SRR3393687,0
SRR3393692,0
SRR3393695,1
SRR3393698,1
SRR3393688,1
SRR3393731,1
SRR3393735,1
SRR3393682,2
SRR3393758,2
SRR3393782,2
SRR3393705,2
SRR3393709,2
SRR3393685,3
SRR3393755,3
SRR3393759,3
SRR3393757,-1
SRR3393674,4
SRR3393718,4
SRR3393743,4
SRR3393744,4
SRR3393760,4
SRR3393750,5
SRR3393786,5
SRR3393727,-1
SRR3393748,6
SRR3393747,6
SRR3393754,6
SRR3393772,7
SRR3393753,7
SRR3393776,7
SRR3393749,7
SRR3393761,7
SRR3393762,-1
SRR3393726,-1
SRR3393764,-1
SRR3393765,-1
SRR3393751,-1
SRR3393752,-1
SRR3393840,-1
SRR3393882,-1
SRR3393794,-1
SRR3393770,-1
SRR3393699,-1
SRR3393830,8
SRR3393844,8
SRR3393677,-1
SRR3393860,9
SRR3393857,9
SRR3393870,9
SRR3393847,-1
SRR3393865,-1
SRR3393845,-1
SRR3393796,-1
SRR3393825,-1
diploid,-1
