SequenceName	ClusterNumber
diploid	-1
SRR3393825	-1
SRR3393796	-1
SRR3393845	-1
SRR3393865	-1
SRR3393847	-1
SRR3393870	1
SRR3393857	1
SRR3393860	1
SRR3393677	-1
SRR3393844	2
SRR3393830	2
SRR3393699	-1
SRR3393770	-1
SRR3393794	-1
SRR3393882	-1
SRR3393840	-1
SRR3393761	3
SRR3393749	3
SRR3393776	3
SRR3393753	3
SRR3393772	3
SRR3393762	-1
SRR3393754	4
SRR3393747	4
SRR3393748	4
SRR3393726	-1
SRR3393727	-1
SRR3393764	-1
SRR3393786	5
SRR3393750	5
SRR3393765	-1
SRR3393757	6
SRR3393759	6
SRR3393755	6
SRR3393685	6
SRR3393709	6
SRR3393705	6
SRR3393782	6
SRR3393758	6
SRR3393682	6
SRR3393735	6
SRR3393731	6
SRR3393688	6
SRR3393698	6
SRR3393695	6
SRR3393692	6
SRR3393687	6
SRR3393722	6
SRR3393774	6
SRR3393780	6
SRR3393672	6
SRR3393689	6
SRR3393785	6
SRR3393768	6
SRR3393681	6
SRR3393781	6
SRR3393732	6
SRR3393724	6
SRR3393694	6
SRR3393680	6
SRR3393728	6
SRR3393713	6
SRR3393775	6
SRR3393683	6
SRR3393787	6
SRR3393712	6
SRR3393711	6
SRR3393710	6
SRR3393767	6
SRR3393723	6
SRR3393779	6
SRR3393773	6
SRR3393783	6
SRR3393777	6
SRR3393715	6
SRR3393701	6
SRR3393766	6
SRR3393741	6
SRR3393745	6
SRR3393693	6
SRR3393671	6
SRR3393684	6
SRR3393673	6
SRR3393739	6
SRR3393675	6
SRR3393734	6
SRR3393729	6
SRR3393742	6
SRR3393784	6
SRR3393771	6
SRR3393719	6
SRR3393740	6
SRR3393733	6
SRR3393717	6
SRR3393738	6
SRR3393737	6
SRR3393788	6
SRR3393763	6
SRR3393720	6
SRR3393691	6
SRR3393736	6
SRR3393721	6
SRR3393778	6
SRR3393756	6
SRR3393714	6
SRR3393676	6
SRR3393678	6
SRR3393790	6
SRR3393746	6
SRR3393725	6
SRR3393716	6
SRR3393708	6
SRR3393702	6
SRR3393690	6
SRR3393730	6
SRR3393679	6
SRR3393706	6
SRR3393704	6
SRR3393769	6
SRR3393700	6
SRR3393686	6
SRR3393696	6
SRR3393707	6
SRR3393703	6
SRR3393789	6
SRR3393697	6
SRR3393760	7
SRR3393744	7
SRR3393743	7
SRR3393718	7
SRR3393674	7
SRR3393751	-1
SRR3393752	-1
