SequenceName	ClusterNumber
G000402355	1
G000830275	1
G001871415	2
G000830295	2
G001873755	-1
G001871475	3
G001871535	3
G000020965	4
G000021645	4
G000212395	4
G000978555	5
G000390265	5
G000230655	5
G000008545	5
G000025105	5
G000016785	5
G001508875	5
G000784835	5
G000750655	5
G000018945	5
G000832145	5
G001508795	5
G000816145	5
G000828655	5
G000217815	5
G000017865	5
G001508115	5
G000828675	5
G000767275	5
G000235405	5
G000017545	5
G000021285	5
G000016905	5
G000018605	5
G001508055	5
G000953715	5
G001513315	5
G900102615	5
G000255135	5
G001021165	5
G001027025	5
G000023325	5
G000147715	5
G001509135	5
G000745455	5
G000691745	6
G000691665	6
G000691685	6
G000691645	6
G900104395	6
G000691725	6
G000158295	6
G000622045	6
G000262225	6
G000242215	6
G001854465	6
G000158275	6
G000007325	6
G000158215	6
G000381725	6
G000158195	6
G000158315	6
G000479045	6
G000622245	6
G000426625	6
G000165505	6
G001902585	6
G001902575	6
G001612575	6
G000024565	6
G001559795	6
G000973085	6
G001517915	6
G001517865	6
G000516535	6
G000176335	6
G001274535	6
G000373045	6
G000373345	6
G000023905	6
G000024405	6
G001508815	7
G001508745	7
G000734035	7
G000008665	7
G002010295	7
G002010285	7
G000025285	7
G000789255	7
G001006045	7
G000025505	7
G002010215	7
G002010195	7
G002010155	7
G002011315	7
G002011235	7
G000385565	7
G002011215	7
G002010125	7
G002010045	7
G000194625	7
G002010305	7
G002011165	7
G002011155	7
G001914405	-1
G000337575	8
G000025625	8
G000337555	8
G000337695	8
G000328685	8
G000337675	8
G000731985	8
G000337195	8
G000230735	8
G000337475	8
G000784335	8
G000337715	8
G000337735	8
G000383975	8
G000337215	8
G000025325	8
G000336655	8
G000337895	8
G000230715	8
G000455345	8
G000217715	8
G000455365	8
G001563885	8
G000691505	8
G000517625	8
G001563955	8
G001564285	8
G000337515	8
G900103505	8
G000403645	8
G000376445	8
G000710615	8
G000196895	8
G000337275	8
G000337755	8
G000223905	8
G000337775	8
G000023965	8
G000337455	8
G900110215	8
G000470655	8
G000023945	8
G000755225	8
G000416085	8
G001564135	8
G900100385	8
G000415945	8
G000591055	8
G000026045	8
G000336695	8
G000336715	8
G000755245	8
G000336675	8
G000336935	8
G000336915	8
G000334895	8
G000237865	8
G000009185	8
G000415965	8
G000415985	8
G000416005	8
G000739575	8
G000337095	8
G000172995	8
G900100875	8
G000306765	8
G000337815	8
G000025685	8
G001469865	8
G000336755	8
G001469955	8
G000283335	8
G000427685	8
G000739595	8
G000022205	8
G000337355	8
G000337375	8
G000336995	8
G000336875	8
G000337035	8
G000337415	8
G000746205	8
G001564205	8
G000496175	8
G001462205	8
G000447865	8
G000416045	8
G000496235	8
G000496215	8
G000416025	8
G900109065	8
G001563795	8
G001564175	8
G001282785	8
G000739555	8
G000224475	8
G900129775	8
G000495475	8
G000496195	8
G000230955	8
G001488575	8
G000069025	8
G000474235	8
G001767315	8
G001305655	8
G001723855	9
G001723835	9
G001723845	9
G001742785	9
G001873845	9
G001567305	10
G001567355	10
G000990985	11
G000989705	11
G000989775	11
G000990025	11
G000989675	11
G000990125	11
G000990085	11
G001772465	11
G001771775	11
G000991265	11
G000993565	11
G001773455	-1
G000284335	12
G001871575	12
G000020945	13
G001896705	13
G000378005	13
G001302425	14
G000404345	14
G000402295	14
G001872985	15
G001791795	15
G000405325	16
G000402235	16
G001509285	16
G001875425	17
G001875345	17
G001629255	18
G001629155	18
G001629295	18
G001629235	18
G001629185	18
G001629245	18
G001628485	18
G001628455	18
G001629165	18
G001628475	18
G001629205	18
G001628435	18
G000246735	18
G000007185	-1
G001940725	-1
G001940755	19
G001940645	19
G001940655	-1
G001940705	20
G001563335	20
G001563325	20
G001515205	21
G001515215	21
G001772545	22
G001772805	22
G001772955	22
G001772215	23
G000991025	23
G001771165	23
G001871995	23
G000993595	24
G000992775	24
G000992695	24
G001787455	24
G001788685	24
G000999945	24
G001788805	24
G001788795	24
G001788875	24
G001788845	24
G000999315	24
G000999965	24
G001873565	24
G001788715	24
G001787475	24
G000993615	24
G000995295	24
G000999445	24
G000989635	24
G000989565	24
G001788765	24
G001788885	24
G001788835	24
G001788755	24
G001787705	25
G001787585	25
G001787675	25
G001788995	25
G001788925	25
G001787535	25
G001787565	25
G001430885	25
G001430755	25
G001430845	25
G001430805	25
G001430905	25
G001787775	25
G001789115	25
G001872575	25
G001787805	25
G001789155	25
G001789075	25
G001787755	25
G001789085	25
G001787725	25
G001787795	25
G001789125	25
G001789165	25
G001004775	25
G001004735	25
G001004835	25
G001788915	25
G001787615	25
G001789045	25
G001789035	25
G001789005	25
G001787625	25
G001788955	25
G001787485	25
G001787555	25
G900018335	26
G001512825	26
G001513495	26
G001513395	26
G001544015	26
G001512545	26
G900019985	26
G001513145	26
G900016865	26
G000184705	26
G000183545	26
G000009905	26
G001280565	26
G000015765	27
G001602685	27
G000430905	27
G001940805	27
G001508455	27
G000015825	28
G000691865	28
G001017125	28
G001315965	28
G001508665	28
G001509255	28
G001571405	28
G001512385	28
G900025055	28
G001512375	28
G000304355	28
G900079125	28
G001896715	28
G001571385	28
G000275865	28
G000327485	28
G000017625	28
G000235685	28
G000021965	28
G000784355	28
G000147875	28
G000243255	28
G000711215	28
G001315945	28
G001412355	28
G000013445	28
G001602695	28
G001766815	29
G001766825	29
G000025665	30
G000327505	30
G002011395	30
G001595945	31
G001595875	31
G002011125	-1
G001587575	32
G001587655	32
G001587695	32
G001587715	32
G001587595	32
G001587605	32
G001587635	32
G001587675	32
G000151205	33
G000022365	33
G000585495	33
G000769655	33
G000816105	33
G001592435	33
G000009965	33
G000258515	33
G001484195	33
G000221185	33
G000265525	33
G001418715	33
G900109425	33
G001647085	33
G000018365	33
G000966265	33
G000211475	33
G000195935	33
G000011105	33
G000275605	33
G000007305	33
G900012635	33
G001577775	33
G000263735	33
G000215995	33
G001433455	33
G000151105	33
G000517445	33
G000725425	33
G002009975	33
G000246985	33
G001484685	33
G000430485	33
G001507935	33
G001508065	33
G001508175	33
G000022545	33
G001317345	33
G000270325	34
G000405685	34
G002011075	34
G001873785	35
G001890045	35
G001772665	35
G001816635	36
G001816645	36
G001816995	36
G001816695	36
G001816735	36
G001816985	36
G001816975	36
G001816795	36
G001816835	36
G001816815	36
G001784805	37
G001784965	37
G000990805	37
G001784915	37
G000991935	37
G000991855	37
G001784815	37
G000995125	37
G001873245	37
G001873875	37
G001784695	37
G001784715	37
G001786575	37
G000990595	37
G000991245	37
G000991495	37
G000991525	37
G000992325	37
G000991325	37
G000991645	37
G000991815	37
G000992165	37
G000992565	37
G001003855	37
G001003065	37
G001001155	37
G001001345	37
G000990515	37
G000990885	37
G000990945	37
G000990485	37
G001784725	37
G001786615	37
G000995965	37
G001001525	37
G001784895	37
G001000395	37
G001784955	37
G001785005	37
G001784795	37
G000999765	37
G001784875	37
G001784885	37
G001784975	37
G001784775	37
G001001305	38
G001817065	38
G001817145	38
G001817175	38
G001817135	38
G001817035	38
G001817095	38
G001817055	38
G001817115	38
G001002185	39
G001790575	39
G001790525	39
G001790625	39
G001788565	39
G001790455	39
G001790445	39
G001790435	40
G001790365	40
G001003725	40
G000463895	40
G000392435	40
G000503915	40
G001897295	40
G001897305	40
G001873625	40
G000803625	40
G001790495	40
G001771115	41
G000995395	41
G000995065	41
G000997185	41
G000993275	41
G000995565	41
G001872945	41
G001872935	41
G001784175	-1
G000011005	42
G000251105	42
G000063445	42
G001856825	-1
G000011185	43
G000195915	43
G000447225	43
G000965745	43
G001856845	43
G900090055	43
G000496135	43
G000949015	43
G001402935	43
G001399695	43
G001402945	43
G001316225	43
G000152265	43
G000008265	43
G001800795	44
G001800825	44
G001800745	44
G001800755	44
G001595885	44
G000018485	45
G000017225	45
G000220645	45
G000017165	45
G000006175	45
G002009965	45
G000376965	45
G000179575	45
G000017185	45
G000214415	45
G000243455	45
G000025525	45
G000091665	45
G000739065	45
G000023985	45
G000024625	45
G000371805	45
G000363885	45
G000092305	45
G000437055	46
G000824705	46
G000016525	46
G000190135	46
G000190155	46
G000190095	46
G001477655	46
G001548675	46
G001639275	46
G000024185	46
G000621965	46
G000404165	46
G000513315	46
G001729395	46
G000012545	46
G000953115	46
G001509005	46
G001458655	46
G000762265	46
G001316325	46
G000499765	46
G000309865	46
G000302455	46
G000744455	46
G000191585	46
G000214725	46
G000745485	46
G001729285	46
G000008645	46
G000828575	46
G000145295	46
G900095815	46
G001507955	46
G000166095	46
G000019605	-1
G001940665	-1
G001717035	47
G001717005	47
G001717025	47
G001717015	47
G001772615	48
G001772695	48
G000997875	49
G000995235	49
G000999305	49
G000999505	49
G001000705	49
G000999405	49
G000998145	49
G001000215	49
G000503835	49
G000998705	49
G000999585	49
G000999385	49
G001773115	49
G001772795	49
G001773175	49
G001773395	49
G001772775	49
G000995715	49
G001773035	49
G000997865	49
G000996615	49
G000996895	49
G000997145	49
G001773275	49
G001773095	49
G000998555	49
G001773315	49
G000997545	49
G000997615	49
G000994825	49
G000997795	49
G000997745	49
G000997025	49
G001773385	49
G001773065	49
G001773015	49
G001773215	49
G001773055	49
G001773145	49
G001773375	49
G001773225	49
G001773195	49
G001773295	49
G001772575	49
G001772935	49
G001772815	49
G001772885	49
G001772865	49
G001772535	49
G000997355	49
G000997575	49
G001772705	49
G000994815	49
G001772855	49
G001772625	49
G001772985	49
G001779985	50
G001779895	50
G001780055	50
G001777545	50
G001777665	50
G001780145	50
G001777775	50
G001779915	50
G001777655	50
G001777825	50
G001777855	50
G001777575	50
G001779995	50
G001777815	50
G001777695	50
G001780065	50
G001779925	50
G001777585	50
G001779955	50
G001004445	51
G001029795	51
G001004375	51
G001771185	51
G001771215	51
G001772265	51
