SequenceName	ClusterNumber
Giardia_lamblia	-1
Clostridium_perfringens	1
Clostridium_tetani	1
Clostridium_acetobutylicum	1
Thermoanaerobacter_tengcongensis	1
Nanoarchaeum_equitans	-1
Thermoplasma_acidophilum	2
Thermoplasma_volcanium	2
Leishmania_major	-1
Mus_musculus	3
Rattus_norvegicus	3
Pan_troglodytes	3
Homo_sapiens	3
Gallus_gallus	3
Takifugu_rubripes	3
Danio_rerio	3
Anopheles_gambiae	3
Drosophila_melanogaster	3
Caenorhabditis_briggsae	3
Caenorhabditis_elegans	3
Eremothecium_gossypii	3
Saccharomyces_cerevisiae	3
Schizosaccharomyces_pombe	3
Dictyostelium_discoideum	3
Arabidopsis_thaliana	3
Oryza_sativa	3
Cyanidioschyzon_merolae	3
Cryptosporidium_hominis	3
Plasmodium_falciparum	3
Thalassiosira_pseudonana	3
Bacillus_cereus_ATCC_10987	4
Bacillus_cereus_ATCC_14579	4
Bacillus_anthracis	4
Bacillus_subtilis	4
Oceanobacillus_iheyensis	4
Bacillus_halodurans	4
Listeria_monocytogenes_EGD	4
Listeria_monocytogenes_F2365	4
Listeria_innocua	4
Staphylococcus_aureus_Mu50	4
Staphylococcus_aureus_N315	4
Staphylococcus_aureus_MW2	4
Staphylococcus_epidermidis	4
Streptococcus_pyogenes_SSI-1	4
Streptococcus_pyogenes_MGAS315	4
Streptococcus_pyogenes_MGAS8232	4
Streptococcus_pyogenes_M1	4
Streptococcus_agalactiae_V	4
Streptococcus_agalactiae_III	4
Streptococcus_mutans	4
Streptococcus_pneumoniae_TIGR4	4
Streptococcus_pneumoniae_R6	4
Lactococcus_lactis	4
Enterococcus_faecalis	4
Lactobacillus_plantarum	4
Lactobacillus_johnsonii	4
Pyrobaculum_aerophilum	-1
Sulfolobus_tokodaii	5
Sulfolobus_solfataricus	5
Aeropyrum_pernix	5
Methanobacterium_thermautotrophicum	6
Methanopyrus_kandleri	6
Methanococcus_jannaschii	6
Methanococcus_maripaludis	6
Pyrococcus_abyssi	6
Pyrococcus_horikoshii	6
Pyrococcus_furiosus	6
Phytoplasma_Onion_yellows	-1
Chlamydia_pneumoniae_AR39	7
Chlamydia_pneumoniae_CWL029	7
Chlamydia_pneumoniae_J138	7
Chlamydophila_pneumoniae_TW183	7
Chlamydophila_caviae	7
Chlamydia_trachomatis	7
Chlamydia_muridarum	7
Mycobacterium_tuberculosis_CDC1551	8
Mycobacterium_tuberculosis_H37Rv	8
Mycobacterium_bovis	8
Mycobacterium_leprae	8
Mycobacterium_paratuberculosis	8
Corynebacterium_glutamicum	8
Corynebacterium_glutamicum_13032	8
Corynebacterium_efficiens	8
Corynebacterium_diphtheriae	8
Streptomyces_coelicolor	8
Streptomyces_avermitilis	8
Tropheryma_whipplei_Twist	8
Tropheryma_whipplei_TW08/27	8
Bifidobacterium_longum	8
Thermotoga_maritima	9
Aquifex_aeolicus	9
Fusobacterium_nucleatum	9
Archaeoglobus_fulgidus	-1
Methanosarcina_mazei	10
Methanosarcina_acetivorans	10
Halobacterium_sp._NRC-1	10
Mycoplasma_mycoides	-1
Fibrobacter_succinogenes	-1
Bacteroides_thetaiotaomicron	11
Porphyromonas_gingivalis	11
Chlorobium_tepidum	11
Rhodopirellula_baltica	12
Gemmata_obscuriglobus	12
Prochlorococcus_marinus_MIT9313	13
Synechococcus_sp._WH8102	13
Prochlorococcus_marinus_SS120	13
Prochlorococcus_marinus_CCMP1378	13
Nostoc_sp._PCC_7120	13
Synechocystis_sp._PCC6803	13
Synechococcus_elongatus	13
Gloeobacter_violaceus	13
Solibacter_usitatus	14
Acidobacterium_capsulatum	14
Geobacter_sulfurreducens	15
Bdellovibrio_bacteriovorus	15
Desulfovibrio_vulgaris	15
Helicobacter_pylori_26695	16
Helicobacter_pylori_J99	16
Helicobacter_hepaticus	16
Wolinella_succinogenes	16
Campylobacter_jejuni	16
Mycoplasma_pulmonis	17
Mycoplasma_mobile	17
Mycoplasma_genitalium	18
Mycoplasma_pneumoniae	18
Mycoplasma_gallisepticum	18
Mycoplasma_penetrans	18
Ureaplasma_parvum	18
Leptospira_interrogans_56601	19
Leptospira_interrogans_L1-130	19
Treponema_denticola	20
Treponema_pallidum	20
Borrelia_burgdorferi	20
Dehalococcoides_ethenogenes	-1
Deinococcus_radiodurans	21
Thermus_thermophilus	21
Rickettsia_conorii	22
Rickettsia_prowazekii	22
Wolbachia_sp._wMel	22
Agrobacterium_tumefaciens_WashU	23
Agrobacterium_tumefaciens_Cereon	23
Rhizobium_meliloti	23
Brucella_melitensis	23
Brucella_suis	23
Rhizobium_loti	23
Rhodopseudomonas_palustris	23
Bradyrhizobium_japonicum	23
Caulobacter_crescentus	23
Bordetella_bronchiseptica	24
