Node Name, Cluster Number
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_F8_C#01,0
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E3_C#01,0
MN871331,0
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E6_C#01, 0
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_F7_C#01, 0
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E8_C#01, 0
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_D9_C#01, 0
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_G11_C#01, 1
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_G12_C#01, 2
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E2_C#01, 3
MN871333, 4
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_F11_C#01, 5
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_F2_C#01, 5
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_F4_C#02, 6
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E11_C#01, 6
MN871330, 6
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E12_C#01, 6
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E7_C#01, 6
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_D8_C#01, 6
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_H11_C#01, 7
MN871332, 8
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_F3_C#01, 9
N871329, 10
MN871328, 11
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_G10_C#01, 12
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_H2_C#01, 13
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_H7_C#01, 14
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_H8_C#01, 15
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E9_C#01, 16
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_F5_C#01, 17
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_H6_C#01, 18
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_H1_C#01,19
TPHIV_IDC#561_18.08.17_PB._Cl.B_NGS_MP#2_F12_C#01,20
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E5_C#01,21
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_D11_C#01,21
TPHIV_IDC#561_18.08.17_PL._Cl.B_NGS_MP#2_E4_C#01,22
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_H5_C#01,23
TPHIV_IDC#561_18.08.17_PB._Cl.C_NGS_MP#2_H3_C#01, 23
